Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,63.0,63.32,62.85,62.95,3987151.0,0.0,1.0,61.64661463273475,61.95974029436134,61.49983697884729,61.5976887481056,3987151.0
2017-12-27,63.56,63.6,62.77,62.95,8959745.0,0.0,1.0,62.19458454058128,62.23372524828461,61.42155556344064,61.5976887481056,8959745.0
2017-12-26,62.9,63.89,62.81,63.65,4563475.0,0.0,1.0,61.54876286347644,62.517495379133706,61.460696271143966,62.282651132913756,4563475.0
2017-12-22,61.21,63.54,60.13,63.29,20413895.0,0.0,1.0,59.895067963011016,62.17501418672962,58.83826885502128,61.930384763583845,20413895.0
2017-12-21,64.33,64.98,63.3,64.77,14312589.0,0.0,1.0,62.94804316387026,63.58407966404928,61.940169940509676,63.37859094860682,14312589.0
2017-12-20,64.4,64.5,63.58,63.59,12467507.0,0.0,1.0,63.016539402351086,63.11439117160939,62.214154894432944,62.223940071358776,12467507.0
2017-12-19,65.09,65.185,64.18,64.24,8211757.0,0.0,1.0,63.691716610233414,63.78467579102881,62.801265509982805,62.85997657153778,8211757.0
2017-12-18,64.99,65.08,64.39,64.81,12651762.0,0.0,1.0,63.5938648409751,63.68193143330758,63.00675422542525,63.417731656310146,12651762.0
2017-12-15,64.93,65.07,64.15,64.79,15659260.0,0.0,1.0,63.53515377942013,63.672146256381744,62.77190997920531,63.39816130245849,15659260.0
2017-12-14,64.435,64.85,64.05,64.53,13054089.0,0.0,1.0,63.05078752159149,63.45687236401346,62.67405820994699,63.143746702386885,13054089.0
2017-12-13,62.22,64.46,62.02,64.3,16072573.0,0.0,1.0,60.88337083251994,63.07525046390606,60.687667294003326,62.918687633092766,16072573.0
2017-12-12,61.81,62.53,61.65,62.17,7323390.0,0.0,1.0,60.48217857856088,61.1867113172207,60.32561574774758,60.83444494789079,7323390.0
2017-12-11,61.37,62.22,61.3,61.91,9017814.0,0.0,1.0,60.05163079382431,60.88337083251994,59.98313455534349,60.580030347819175,9017814.0
2017-12-08,60.5,61.37,60.29,61.3,6065031.0,0.0,1.0,59.200320401277025,60.05163079382431,58.994831685834576,59.98313455534349,6065031.0
2017-12-07,59.86,61.06,59.65,60.6,6113267.0,0.0,1.0,58.57406907802385,59.748290309123554,58.3685803625814,59.29817217053533,6113267.0
2017-12-06,60.41,60.85,59.7,59.72,7862151.0,0.0,1.0,59.112253808944544,59.542801593681105,58.417506247210554,58.43707660106221,7862151.0
2017-12-05,60.65,60.8,59.65,60.42,8862835.0,0.0,1.0,59.34709805516449,59.49387570905195,58.3685803625814,59.122038985870375,8862835.0
2017-12-04,60.27,60.695,59.97,60.1,7513230.0,0.0,1.0,58.975261331982914,59.39113135133073,58.68170602420798,58.80891332424379,7513230.0
2017-12-01,60.42,60.43,59.24,59.88,10113565.0,0.2,1.0,59.122038985870375,59.13182416279621,57.96738810862233,58.59363943187551,10113565.0
2017-11-30,60.26,61.21,60.2,60.42,12551203.0,0.0,1.0,58.7691862876967,59.69568358230858,58.71067066908964,58.92522793731555,12551203.0
2017-11-29,59.73,60.63,59.73,60.36,12022708.0,0.0,1.0,58.25229832333428,59.13003260244028,58.25229832333428,58.86671231870848,12022708.0
2017-11-28,58.76,59.6,58.54,59.58,8665270.0,0.0,1.0,57.30629582252005,58.125514483018975,57.09173855429414,58.10600927681662,8665270.0
2017-11-27,59.2,59.7,59.17,59.63,7891586.0,0.0,1.0,57.73541035897187,58.22304051403076,57.70615254966834,58.15477229232251,7891586.0
2017-11-24,59.0,59.35,58.91,59.32,3400441.0,0.0,1.0,57.54035829694831,57.881699405489535,57.452584869037715,57.852441596186,3400441.0
2017-11-22,59.18,59.34,58.94,59.07,8500589.0,0.0,1.0,57.715905152769515,57.87194680238836,57.481842678341245,57.60862651865656,8500589.0
2017-11-21,59.03,59.4,58.93,59.39,9057779.0,0.0,1.0,57.56961610625185,57.93046242099542,57.47209007524007,57.92070981789424,9057779.0
2017-11-20,58.63,59.5,57.98,59.25,8480447.0,0.0,1.0,57.179511982204744,58.0279884520072,56.54559278062819,57.78417337447775,8480447.0
2017-11-17,58.54,59.53,58.37,59.19,15475385.0,0.0,1.0,57.09173855429414,58.05724626131073,56.92594430157412,57.725657755870685,15475385.0
2017-11-16,56.62,57.2775,56.41,57.23,8232308.0,0.0,1.0,55.21923875886802,55.86047241277046,55.01443409374329,55.81414754803986,8232308.0
2017-11-15,55.96,56.87,55.08,56.63,6610545.0,0.0,1.0,54.5755669541903,55.463053836397464,53.71733788128666,55.22899136196921,6610545.0
2017-11-14,55.71,56.18,55.53,55.98,5037418.0,0.0,1.0,54.33175187666086,54.79012422241621,54.15620502083966,54.595072160392654,5037418.0
2017-11-13,55.66,56.085,55.66,55.91,10105753.0,0.0,1.0,54.28298886115497,54.697474492955024,54.28298886115497,54.52680393868441,10105753.0
2017-11-10,55.88,56.49,55.62,56.09,7535726.0,0.0,1.0,54.49754612938088,55.09245491855272,54.243978448750255,54.70235079450561,7535726.0
2017-11-09,55.5,56.35,55.31,56.13,10940531.0,0.0,1.0,54.12694721153613,54.95591847513623,53.941647752613754,54.74136120691032,10940531.0
2017-11-08,55.0,55.77,54.89,55.76,6974626.0,0.0,1.0,53.63931705647724,54.39026749526793,53.53203842236429,54.380514892166744,6974626.0
2017-11-07,55.75,56.015,55.02,55.15,7774698.0,0.0,1.0,54.37076228906557,54.62920627124678,53.6588222626796,53.785606102994905,7774698.0
2017-11-06,55.29,56.13,55.14,56.04,9332236.0,0.0,1.0,53.92214254641139,54.74136120691032,53.77585349989373,54.65358777899972,9332236.0
2017-11-03,55.15,55.72,55.04,55.71,9448203.0,0.0,1.0,53.785606102994905,54.34150447976204,53.67832746888195,54.33175187666086,9448203.0
2017-11-02,55.15,55.32,54.59,55.12,7250283.0,0.0,1.0,53.785606102994905,53.95140035571493,53.23946032932896,53.756348293691374,7250283.0
2017-11-01,55.42,55.5,54.85,55.07,7544505.0,0.0,1.0,54.048926386726706,54.12694721153613,53.49302800995958,53.70758527818548,7544505.0
2017-10-31,54.75,55.28,54.52,54.99,9794845.0,0.0,1.0,53.3955019789478,53.91238994331022,53.17119210762072,53.62956445337607,9794845.0
2017-10-30,55.71,55.93,54.84,55.27,10169301.0,0.0,1.0,54.33175187666086,54.54630914488676,53.483275406858404,53.90263734020904,10169301.0
2017-10-27,55.82,56.36,55.65,55.96,12801783.0,0.0,1.0,54.43903051077381,54.965671078237406,54.27323625805379,54.5755669541903,12801783.0
2017-10-26,55.26,57.25,55.14,56.81,22184244.0,0.0,1.0,53.89288473710786,55.83365275424222,53.77585349989373,55.4045382177904,22184244.0
2017-10-25,53.43,55.905,52.67,54.9245,22919390.0,0.0,1.0,52.108158369592346,54.52192763713382,51.36696053390284,53.56568490306335,22919390.0
2017-10-24,53.9,54.0,53.1,53.42,14767595.0,0.0,1.0,52.566530715347696,52.66405674635947,51.786322467253484,52.09840576649117,14767595.0
2017-10-23,53.06,53.95,53.0,53.66,12242170.0,0.0,1.0,51.74731205484878,52.61529373085359,51.68879643624171,52.33246824091943,12242170.0
2017-10-20,52.79,53.5,52.79,53.06,13020916.0,0.0,1.0,51.483991771116976,52.17642659130059,51.483991771116976,51.74731205484878,13020916.0
2017-10-19,51.66,52.8,51.48,52.69,12568217.0,0.0,1.0,50.381947620683896,51.49374437421815,50.20640076486269,51.386465740105194,12568217.0
2017-10-18,52.18,52.4,52.1,52.3,10890257.0,0.0,1.0,50.88908298194514,51.10364025017105,50.811062157135716,51.006114219159265,10890257.0
2017-10-17,51.5,52.04,51.38,52.0,9492475.0,0.0,1.0,50.22590597106505,50.75254653852865,50.108874733850925,50.71353612612394,9492475.0
2017-10-16,50.8,51.405,50.64,51.37,9299326.0,0.0,1.0,49.543223753982616,50.13325624160387,49.387182104363774,50.09912213074974,9299326.0
2017-10-13,50.83,51.07,50.4,50.98,16227908.0,0.0,1.0,49.572481563286146,49.80654403771442,49.15311962993551,49.71877060980381,16227908.0
2017-10-12,50.98,51.12,50.35,50.83,10658445.0,0.0,1.0,49.71877060980381,49.8553070532203,49.10435661442962,49.572481563286146,10658445.0
2017-10-11,51.39,51.52,50.83,51.03,9109222.0,0.0,1.0,50.1186273369521,50.245411177267414,49.572481563286146,49.7675336253097,9109222.0
2017-10-10,51.58,51.82,51.37,51.53,8370508.0,0.0,1.0,50.303926795874474,50.53798927030274,50.09912213074974,50.25516378036859,8370508.0
2017-10-09,52.23,52.3,51.5,51.52,6874988.0,0.0,1.0,50.93784599745102,51.006114219159265,50.22590597106505,50.245411177267414,6874988.0
2017-10-06,52.2,52.46,52.12,52.42,5360267.0,0.0,1.0,50.9085881881475,51.162155868778115,50.83056736333807,51.1231454563734,5360267.0
